ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
1,  Yovi&#39;s Chicago Style Hot Dogs,100,5th Avenue,Pittsburgh,PA,15222,Pittsburgh-101,Restaurant without Liquor
2, Dollar General #12185,3750,Saw Mill Run Boulevard,Pittsburgh,PA,15227,Brentwood,Chain Packaged Food Only
3, Harmarville Rehabilitation Hospital Kitchen,320,Guys Run Road,Pittsburgh,PA,15238,Indiana,Hospital/Other Institution
4, Holy Angels Evangelical Lutheran Church,201,Caldwell Avenue,Wilmerding,PA,15148,Wilmerding,Adult Food Service
5, Holy Family Institute / Chatham Day School ,227,Bonvue Street,Pittsburgh,PA,15214,Pittsburgh-126,School Satellite Kitchen
6, Holy Martyrs Parish,353,9th Avenue,Tarentum,PA,15084,Tarentum,Adult Food Service
7, Penn Society,210,10th Street,Pittsburgh,PA,15222,Pittsburgh-102,Social Club-Bar Only
8, Pizzaiolo Primo,8,Market  Street,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant with Liquor
9, Save A Lot / North Versailles,355,Lincoln Hwy,North Versailles,PA,15137,North Versailles,Chain Supermarket
10, Scarpaci&#39;s,307,Shiloh St,Pittsburgh,PA,15211,Pittsburgh-119,Restaurant with Liquor
11, St. John Lutheran Church,601,Washington Ave,Carnegie,PA,15106,Carnegie,Adult Food Service
12, Sunoco / Brookline,533,Brookline Blvd,Pittsburgh,PA,15226,Pittsburgh-119,Chain Retail/Convenience Store
13, The Circuit Center / Fluted Mushroom,5,Hot Metal St,Pittsburgh,PA,15203,Pittsburgh-116,Banquet Hall
14, Verdetto&#39;s Bar &amp; Restaurant,814,Madison Ave,Pittsburgh,PA,15212,Pittsburgh-123,Restaurant with Liquor
15,#1 China Garden Buffet,6401,Penn Ave,Pittsburgh,PA,15206,Pittsburgh-112,Restaurant without Liquor
16,#1 Cochran Cafe,4520,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Restaurant without Liquor
17,$1 &amp; Up,744,Brookline Blvd,Pittsburgh,PA,15226,Pittsburgh-119,Retail/Convenience Store
18,12th Tee Snack Bar,400,Longue Vue Dr,Verona,PA,15147,Penn Hills,Restaurant without Liquor
19,1311,1311,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor
20,1313 Bar,1313,Kennedy  Avenue,Duquesne,PA,15110,Duquesne,Restaurant with Liquor
21,1613 Saloon,1613,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,Restaurant with Liquor
22,1905 Bakery,733,Broadway Avenue,Mc Kees Rocks,PA,15136,Stowe,Restaurant without Liquor
23,1905 Eatery,733,Broadway Avenue,Mc Kees Rocks,PA,15136,Stowe,Restaurant without Liquor
24,19th Hole Pub &amp; Grill,10150,Kummer  Road,Allison Park,PA,15101,McCandless,Restaurant with Liquor
25,1st Years Daycare Center,925,Franklin Ave,Pittsburgh,PA,15221,Wilkinsburg,Child Food Service
26,2126 East Carson St Building,2126,Carson Street,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor
27,2132 E Carson Bar &amp; Restaurant,2132,Carson Street,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor
28,218 Bar &amp; Grill,218,7th Avenue,Tarentum,PA,15084,Tarentum,Restaurant with Liquor
29,21st Street Coffee &amp; Tea,225,5th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor
30,21st Street Coffee &amp; Tea,2002,Smallman Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant with Liquor
31,235 Tavern ,3420,Universal  Road,Pittsburgh,PA,15235,Plum,Restaurant with Liquor
32,2512 East Carson St,2512,Carson  Street,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor
33,3 D&#39;s Tobacco ,3604,5th Ave,Pittsburgh,PA,15213,Pittsburgh-104,Retail/Convenience Store
34,3 Lakes Golf Course,6700,Saltsburg Road,Pittsburgh,PA,15235,Penn Hills,Banquet Hall
35,3 Lakes Golf Course 19th Hole,6700,Saltsburg Road,Pittsburgh,PA,15235,Penn Hills,Restaurant with Liquor
36,3 Minute Fitness ,1136,Thorn Run Road,Coraopolis,PA,15108,Moon,Restaurant without Liquor
37,3 R Tobacco Outlet,1103,Browsville Road,Pittsburgh,PA,15210,Pittsburgh-129,Retail/Convenience Store
38,3 Rivers Ice Cream Service Warehouse,24,Frontier  Drive,Gibsonia,PA,15044,West Deer,Refrigerated Warehouse
39,31 Sports Bar Grille,1020,Washington  Pike,Bridgeville,PA,15017,Collier,Restaurant with Liquor
40,4 Kids Child Care Center,404,Braddock Ave,Braddock,PA,15104,Braddock,Child Food Service
41,4121 Main ,4121,Main Street,Pittsburgh,PA,15224,Pittsburgh-109,Restaurant without Liquor
42,424 Walnut,424,Walnut St,Sewickley,PA,15143,Sewickley,Restaurant with Liquor
43,5 Fools,9566,Perry Hwy,Pittsburgh,PA,15237,McCandless,Restaurant with Liquor
44,5 GB&#39;s Fresh Foods ,1100,Chartiers Avenue,Mc Kees Rocks,PA,15136,McKees Rocks,Retail/Convenience Store
45,5 Generation Bakers ,1100,Chartiers Avenue,Mc Kees Rocks,PA,15136,McKees Rocks,Food Processor
46,500 Grant Cafe / Aramark,500,Grant  Street,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant without Liquor
47,51 Wings ,4022,Saw Mill Run Blvd,Pittsburgh,PA,15227,Brentwood,Restaurant without Liquor
48,525 William Penn / Aramark Cafeteria,525,Wm Penn  Place,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant without Liquor
49,52nd Street Market,601,52nd  Street,Pittsburgh,PA,15201,Pittsburgh-110,Retail/Convenience Store
50,5801 Video Lounge and Cafe,5801,Ellsworth  Avenue,Pittsburgh,PA,15232,Pittsburgh-107,Restaurant with Liquor
51,6&#39;s Grill,320,Waddell Ave,Clairton,PA,15025,Clairton,Restaurant with Liquor
52,61 B Cafe ,1110,Braddock Avenue,Pittsburgh,PA,15218,Swissvale,Restaurant without Liquor
53,61 C Cafe,1839,Murray  Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant without Liquor
54,64 Bridge St,64,Bridge  Street,Pittsburgh,PA,15223,Etna,Restaurant with Liquor
55,7 Eleven #106 36118A,1,Bigelow  Square,Pittsburgh,PA,15219,Pittsburgh-102,Chain Retail/Convenience Store
56,7 Eleven #167,643,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Retail/Convenience Store
57,7 Eleven #2701-36160J,420,Smihfield  Street,Pittsburgh,PA,15222,Pittsburgh-101,Chain Retail/Convenience Store
58,7 Eleven #35968H,525,Perry Highway,Pittsburgh,PA,15229,West View,Chain Retail/Convenience Store
59,7 Eleven #36121A,423,James  Street,Turtle Creek,PA,15145,Turtle Creek,Chain Retail/Convenience Store
60,7 Eleven #36122A,22,Grant Avenue,Pittsburgh,PA,15223,Etna,Chain Retail/Convenience Store
61,7 Eleven #36123,7500,Grand  Avenue,Pittsburgh,PA,15225,Neville,Chain Retail/Convenience Store
62,7 Eleven #36126A,987,Greentree Road,Pittsburgh,PA,15220,Greentree,Chain Retail/Convenience Store
63,7 Eleven #36127A,137,Clever Road,Mc Kees Rocks,PA,15136,Kennedy,Chain Retail/Convenience Store
64,7 Eleven #36128,6403,Brownsville Rd,Pittsburgh,PA,15236,South Park,Chain Retail/Convenience Store
65,7 Eleven #36134,3955,Forbes  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Chain Retail/Convenience Store
66,7 Eleven #36135,850,Boyce Road,Bridgeville,PA,15017,South Fayette,Chain Retail/Convenience Store
67,7 Eleven #36138H,740,W Ingomar Rd,Pittsburgh,PA,15237,McCandless,Chain Retail/Convenience Store
68,7 Eleven #36139A,285,Mt Lebanon  Boulevard,Pittsburgh,PA,15234,Castle Shannon,Chain Retail/Convenience Store
69,7 Eleven #36140A,1005,Western Ave,Pittsburgh,PA,15233,Pittsburgh-121,Chain Retail/Convenience Store
70,7 Eleven #36143A,601,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Retail/Convenience Store
71,7 Eleven #36144A,95,Warrendale Bayne Rd,Warrendale,PA,15086,Marshall,Chain Retail/Convenience Store
72,7 Eleven #36146A,429,Wood Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Retail/Convenience Store
73,7 Eleven #36152A,608,5th Street,West Elizabeth,PA,15088,West Elizabeth,Chain Retail/Convenience Store
74,7 Eleven #36154H,1101,Brookline  Boulevard,Pittsburgh,PA,15226,Pittsburgh-119,Chain Retail/Convenience Store
75,7 Eleven #36155,818,Duquesne Boulevard,Duquesne,PA,15110,Duquesne,Chain Retail/Convenience Store
76,7 Eleven #36158A,321,Camp Hollow Rd,West Mifflin,PA,15122,West Mifflin,Chain Packaged Food Only
77,7 Eleven #36159A,1350,Wildwood Rd,Gibsonia,PA,15044,McCandless,Chain Retail/Convenience Store
78,7 Eleven #36186,3915,Wm Flynn Highway,Aliquippa,PA,15001,Hampton,Chain Retail/Convenience Store
79,7 Eleven #36193A,999,Greentree Road,Pittsburgh,PA,15220,Greentree,Chain Retail/Convenience Store
80,7 Eleven Store #36131-A,10,Prospect Avenue,Pittsburgh,PA,15205,Ingram,Chain Retail/Convenience Store
81,7-Eleven #36124,1400,Radford  Road,Pittsburgh,PA,15227,Whitehall,Chain Retail/Convenience Store
82,703 Community Social Club,7232,Hamilton  Avenue,Pittsburgh,PA,15208,Pittsburgh-113,Social Club-Bar Only
83,77 Cafe&#39; / Guckenheimer Services,77,Hot Metal  St,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant without Liquor
84,88 Tobacco,5815,Library Road,Bethel Park,PA,15102,Bethel Park,Packaged Food Only
85,922 Building Department of Energy Cafeteria,626,Cochran Mill Road,Pittsburgh,PA,15236,South Park,Restaurant without Liquor
86,941 Saloon,941,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor
87,99 Bottles,1001,Washington Avenue,Carnegie,PA,15106,Scott,Restaurant with Liquor
88,9th &amp; Penn News - Numbers,136,9th Street,Pittsburgh,PA,15222,Pittsburgh-102,Packaged Food Only
89,A &amp; B Pizza,2418,Freeport Road,Natrona Heights,PA,15065,Harrison,Restaurant without Liquor
90,A &amp; D Kona Ice #2 (ZDX 7909),4054,Turnwood  Lane,Coraopolis,PA,15108,Moon,Mobile
91,A &amp; E Deli Food Mart,105,Brownsville Rd,Pittsburgh,PA,15210,Mt Oliver,Retail/Convenience Store
92,A &amp; K Convenience Store ,3459,Ward  Street,Pittsburgh,PA,15213,Pittsburgh-104,Retail/Convenience Store
93,A &amp; M Market,320,Coal St,Pittsburgh,PA,15221,Edgewood,Retail/Convenience Store
94,A &amp; M Market,5224,Penn Ave,Pittsburgh,PA,15224,Pittsburgh-108,Packaged Food Only
95,A Child&#39;s World Day Care Center,300,Rankin Boulevard,Braddock,PA,15104,Rankin,Child Food Service
96,A E O&#39;Block Jr High School,440,Presque Isle  Drive,Pittsburgh,PA,15239,Plum,School Full Service Kitchen
97,A Family Flavor,514,Main Street,East Pittsburgh,PA,15112,East Pittsburgh,Restaurant without Liquor
98,A Grand Affair Catering,902,Brackenridge Avenue,Brackenridge,PA,15014,Brackenridge,Restaurant without Liquor
99,A J Bambino,910,Beaver Grade Road,Coraopolis,PA,15108,Moon,Restaurant without Liquor
100,A Pizza Badamo,656,Washington  Rd,Pittsburgh,PA,15228,Mt Lebanon,Restaurant without Liquor
101,A S Wee Care,3004,Stayton St,Pittsburgh,PA,15212,Pittsburgh-127,Child Food Service
102,A S Wee Care III,2809,Brighton Rd,Pittsburgh,PA,15212,Pittsburgh-127,Child Food Service
103,A Sweet Boutique,3511,Butler Street,Pittsburgh,PA,15201,Pittsburgh-106,Restaurant without Liquor
104,A Sweet Morsel,3612,Wm Flynn Highway,Allison Park,PA,15101,Shaler,Bakery
105,A Taste Of India,4320,Penn Ave,Pittsburgh,PA,15224,Pittsburgh-109,Restaurant without Liquor
106,A W Beattie Career Center,9600,Babcock Blvd,Allison Park,PA,15101,McCandless,School Full Service Kitchen
107,A Ward&#39;s Cheesecakes,34,Main  Street,Carnegie,PA,15106,Carnegie,Food Processor
108,A to Z Convenience Stores,1617,West St,Homestead,PA,15120,Homestead,Packaged Food Only
109,A&amp;D Kona Ice (YVP 8361),4054,Turnwood Ln,Coraopolis,PA,15108,Moon,Mobile
110,A&#39;s 2&#39;s / Ace&#39;s &amp; Deuce&#39;s Lounge,1400,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant with Liquor
111,A519 Chocolate ,2,Sedgwick  Street,Pittsburgh,PA,15209,Millvale,Food Processor
112,ABC&#39;s for Children ,1630,Greentree Road,Pittsburgh,PA,15220,Scott,Child Food Service
113,AD&#39;S Pittsburgh Cafe,226,Meyran  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant with Liquor
114,ADDA Coffee &amp; Tea House ,200,Highland Avenue,Pittsburgh,PA,15206,Pittsburgh-107,Restaurant without Liquor
115,AFC Sushi @ Children&#39;s Hospital,4401,Penn Avenue,Pittsburgh,PA,15201,Pittsburgh-109,Restaurant without Liquor
116,AGH Center For Children / Bright Horizons,621,E North Ave,Pittsburgh,PA,15212,Pittsburgh-123,School Satellite Kitchen
117,AGH Suburban Campus Gift Shop,100,S Jackson St,Pittsburgh,PA,15202,Bellevue,Hospital Gov University (limited)
118,AGH Suburban Campus Kitchen,100,S Jackson St,Pittsburgh,PA,15202,Bellevue,Hospital/Other Institution
119,AHN Health &amp; Wellness Pavilion ,1000,Higbee Drive,Bethel Park,PA,15102,Bethel Park,Restaurant without Liquor
120,AIU Baldwin Headstart,41,Macek Dr,Pittsburgh,PA,15227,Baldwin Boro,Child Food Service
121,AIU Carnegie Headstart,630,Washington Ave,Carnegie,PA,15106,Carnegie,Child Food Service
122,AIU Clairton II Headstart,734,Miller Ave,Clairton,PA,15025,Clairton,Child Food Service
123,AIU Community School East,519,Penn Ave / 3rd Fl,Turtle Creek,PA,15145,Turtle Creek,School Satellite Kitchen
124,AIU Community School West,19,May Ave     #200,Mc Kees Rocks,PA,15136,McKees Rocks,School Satellite Kitchen
125,AIU Crawford Village Headstart,2901,Brownlee Ave,Mc Keesport,PA,15132,McKeesport,Child Food Service
126,AIU Duquesne Place Head Start,901,Duquesne Place,Duquesne,PA,15110,Duquesne,Child Food Service
127,AIU Early Headstart - Carnegie,1100,Washington Avenue,Carnegie,PA,15106,Scott,School Full Service Kitchen
128,AIU East Allegheny Pre-K Counts ,3203,Maryland  Avenue,North Versailles,PA,15137,North Versailles,Child Food Service
129,AIU Elizabeth Headstart,207,3rd St,Elizabeth,PA,15037,Elizabeth Borough,Child Food Service
130,AIU Foster Elementary Building,800,Russellwood Avenue,Mc Kees Rocks,PA,15136,Stowe,Child Food Service
131,AIU Fox Chapel / Sharpsburg Headstart,200,Linden Ave / 2nd Fl,Pittsburgh,PA,15215,Sharpsburg,Child Food Service
132,AIU Garden City Headstart,500,Laurel Dr,Monroeville,PA,15146,Monroeville,Child Food Service
133,AIU Gateway Pitcairn Headstart,428,Highland  Avenue,Pitcairn,PA,15140,Pitcairn,Child Food Service
134,AIU Green Meadows Headstart,361,Knoedler Road,Pittsburgh,PA,15236,Baldwin Boro,Child Food Service
135,AIU Groveton Headstart,511,Groveton Drive,Coraopolis,PA,15108,Robinson,Child Food Service
136,AIU HeadStart Wilkinsburg,807,Wallace  Avenue,Pittsburgh,PA,15221,Wilkinsburg,Child Food Service
137,AIU Headstart / Church of Brethren,481,Center Rd,Monroeville,PA,15146,Monroeville,Child Food Service
138,AIU Headstart Pleasant Ridge,251,Jefferson Dr,Mc Kees Rocks,PA,15136,Stowe,Child Food Service
139,AIU Highlands I Headstart,415,4th Avenue,Tarentum,PA,15084,Tarentum,Child Food Service
140,AIU Lincoln Park Family Center and After-School Program,7300,Ridgeview  Avenue,Pittsburgh,PA,15235,Penn Hills,Child Food Service
141,AIU McKeesport Central Headstart,1510,Versailles Ave / 1st Fl,Mc Keesport,PA,15132,McKeesport,Child Food Service
142,AIU Natrona Heights 3 Headstart,240,Park Avenue,Natrona Heights,PA,15065,Harrison,Child Food Service
143,AIU Penn Hills Lincoln Park Headstart I,7300,Ridgeview Ave,Pittsburgh,PA,15235,Penn Hills,Child Food Service
144,AIU Penn Hills Lincoln Park Headstart II,7300,Ridgeview Ave,Pittsburgh,PA,15235,Penn Hills,Child Food Service
145,AIU Steel Valley 8th Ave Headstart,304,E 8th Ave,Homestead,PA,15120,Homestead,Child Food Service
146,AIU Steel Valley Headstart,1705,Maple Ave,Homestead,PA,15120,Homestead,Child Food Service
147,AIU Steel Valley Pre-K Counts,1705,Maple Ave,Homestead,PA,15120,Homestead,Child Food Service
148,AIU West Mifflin Monview Head Start,1,G Midway Dr,West Mifflin,PA,15122,West Mifflin,Child Food Service
149,AIU Wilmerding Headstart,200,Westinghouse Ave,Wilmerding,PA,15148,Wilmerding,Child Food Service
150,AIU Woodland Hills / Brinton Head Start,1200,Wolfe  Avenue,Braddock,PA,15104,North Braddock,Child Food Service
151,AIU Woodland Hills / Hawkins Village Head Start,500,Kenmawr (Bldg #34) Drive,Braddock,PA,15104,Rankin,Child Food Service
152,AIU Woodland Hills / Rankin Head Start,230,3rd  Street,Braddock,PA,15104,Rankin,Child Food Service
153,AJ&#39;s Burger &amp; Peruvian Rotsserie Chicken,422,Semple Street,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor
154,AJ&#39;s Deli,2945,Park  Road,Bethel Park,PA,15102,Bethel Park,Restaurant without Liquor
155,AMBU Cafe,700,Cherrington Parkway,Coraopolis,PA,15108,Moon,Restaurant without Liquor
156,AMC Theaters Loews Waterfront 22,300,Waterfront  Drive,Homestead,PA,15120,West Homestead,Chain Restaurant with Liquor
157,AMF Bowling City of Mt Lebanon Snack Bar #211,1601,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant without Liquor
158,AMF Noble Manor Lanes,2440,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Restaurant with Liquor
159,AMF Noble Manor Lanes Snack Shop,2440,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Restaurant with Liquor
160,AVI Food Systems Pittsburgh,2700,Neville Rd,Pittsburgh,PA,15225,Neville,Refrigerated Warehouse
161,AW Beattie Career Center Kiddie Tech,9600,Babcock Blvd,Allison Park,PA,15101,McCandless,Child Food Service
162,AW Food Express / Sunoco,1001,Pittsburgh Street,Cheswick,PA,15024,Cheswick,Chain Retail/Convenience Store
163,Aabco Swansons Notary Etc,9915,Frankstown Road,Pittsburgh,PA,15235,Penn Hills,Restaurant without Liquor
164,Aala Kabbab &amp; Curry,4401,Old William Penn  Highway,Monroeville,PA,15146,Monroeville,Restaurant without Liquor
165,Abby&#39;s ,2408,Reed Street,Pittsburgh,PA,15219,Pittsburgh-105,Retail/Convenience Store
166,Abe&#39;s Market,1860,Centre  Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Retail/Convenience Store
167,Above &amp; Beyond Child Care Center,5300,Perry Highway,Pittsburgh,PA,15229,Ross,Child Food Service
168,Above &amp; Beyond Childcare Center,2165,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Child Food Service
169,Abraham Lincoln School Cafeteria,1524,Hamilton Rd,Pittsburgh,PA,15234,Bethel Park,School Full Service Kitchen
170,Abundant Joy Fellowship,101, Allegheny St,Tarentum,PA,15084,Tarentum,Adult Food Service
171,Acacia,2108,E Carson Street,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor
172,Accuserv Pharmacy,5020,Centre Avenue,Pittsburgh,PA,15213,Pittsburgh-107,Chain Packaged Food Only
173,Ace Fix - It Hardware Cheswick,1500,Pittsburgh  Street,Cheswick,PA,15024,Cheswick,Retail/Convenience Store
174,Ace Hotel Pittsburgh / Whitfield Restaurant ,120,Whitfield  Street,Pittsburgh,PA,15206,Pittsburgh-108,Restaurant with Liquor
175,Ace Tavern,716,Broadway Ave,Mc Kees Rocks,PA,15136,Stowe,Restaurant with Liquor
176,Ace&#39;s Breakaway &amp; Play,417,Smithfield St,Pittsburgh,PA,15222,Pittsburgh-101,Packaged Food Only
177,Acmetonia School Cafeteria,300,Pearl Avenue,Cheswick,PA,15024,Harmar,School Full Service Kitchen
178,Acord Park Snack Bar,498,Camp Horne Rd,Pittsburgh,PA,15237,Kilbuck,Pool Snack Bar/No Liquor
179,Acorn Club,7535,Roslyn St,Pittsburgh,PA,15218,Swissvale,Restaurant with Liquor
180,Acquasonta,3909,Clairton  Boulevard,Pittsburgh,PA,15227,Brentwood,Caterer
181,Acropolis Gyro House &amp; Grille,630,Allegheny River  Boulevard,Verona,PA,15147,Verona,Restaurant without Liquor
182,Adat Shalom Synagogue,368,Guys Run Road,Cheswick,PA,15024,Indiana,Church Kitchen
183,Adelphoi Academy @ Holy Spirit Parish,608,Farragut  Street,Pittsburgh,PA,15209,Millvale,School Satellite Kitchen
184,Aden Market,1318,Federal  Street,Pittsburgh,PA,15212,Pittsburgh-122,Retail/Convenience Store
185,Adesso Cafe,441 1/2,Walnut Street,Sewickley,PA,15143,Sewickley,Restaurant without Liquor
186,Admiral&#39;s Club,&nbsp;,Pgh Intl Airport / AC-M,Pittsburgh,PA,15231,Findlay,Chain Restaurant with Liquor
187,Adolfo&#39;s Restaurant ,4770,Liberty  Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant without Liquor
188,Adrian&#39;s Pizza,605,Thompson Run Road,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
189,Adrian&#39;s Pizza,2562,Brandt School Rd,Wexford,PA,15090,Franklin Park,Restaurant without Liquor
190,Adrian&#39;s Pizza / Mazzotta Winery,4092,Gibsonia  Road,Gibsonia,PA,15044,Richland,Restaurant with Liquor
191,Adrian&#39;s Pizza Express,7824,Perry Hwy,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
192,Adzema Pharmacy / Lunch Counter,8105,Perry  Highway,Pittsburgh,PA,15237,McCandless,Restaurant without Liquor
193,Afamia,663,Washington Road,Pittsburgh,PA,15228,Mt Lebanon,Restaurant without Liquor
194,African Taste Cuisine,250,Pacific Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Transient Caterer
195,Aicha&#39;s Store ,507,Bessemer  Avenue,East Pittsburgh,PA,15112,East Pittsburgh,Packaged Food Only
196,Aiello&#39;s Pizza,2112,Murray Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant with Liquor
197,Airport Ice Arena,330,Hookstown Grade  Road,Coraopolis,PA,15108,Moon,Ice Arena
198,Ak Schwartz Super Market,1901,5th Ave,Pittsburgh,PA,15219,Pittsburgh-103,Retail/Convenience Store
199,Akusuka ,250,Pacific Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Transient Caterer
200,Al&#39;s Bone Broth,222,3rd Avenue,Carnegie,PA,15106,Carnegie,Food Processor
201,Al&#39;s Cafe,435,McMurray Rd,Bethel Park,PA,15102,Bethel Park,Restaurant with Liquor
202,Al&#39;s Cone Zone,1211,State Route 885,Clairton,PA,15025,Jefferson,Restaurant without Liquor
203,Al&#39;s Fish &amp; Chicken,1000,Penn Avenue,Pittsburgh,PA,15221,Wilkinsburg,Restaurant without Liquor
204,Al&#39;s Fish &amp; Chicken,1021,Duquesne  Boulevard,Duquesne,PA,15110,Duquesne,Restaurant without Liquor
205,Al&#39;s Market,24,Braddock Ave,Braddock,PA,15104,Braddock,Retail/Convenience Store
206,Aladdin&#39;s Eatery,929,Freeport Road,Pittsburgh,PA,15238,Pittsburgh-112,Chain Restaurant without Liquor
207,Aladdin&#39;s Eatery,4885,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
208,Aladdin&#39;s Eatery,5878,Forbes Ave,Pittsburgh,PA,15217,Pittsburgh-114,Chain Restaurant with Liquor
209,Aladdin&#39;s Eatery #17,630,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant with Liquor
210,Alber &amp; Leff Foods Co,3115,Washington Pike,Bridgeville,PA,15017,South Fayette,Refrigerated Warehouse
211,Albert F Baker School Cafeteria,2300,Morton Rd,Pittsburgh,PA,15241,Upper St Clair,School Full Service Kitchen
212,Albert&#39;s Lounge,2856,Broadway  Avenue,Pittsburgh,PA,15216,Dormont,Restaurant with Liquor
213,Alberta&#39;s Pizza,2312,Main St,Pittsburgh,PA,15215,Sharpsburg,Transient Caterer
214,Aldi #44,100,Aldi Dr,North Versailles,PA,15137,North Versailles,Chain Packaged Food Only
215,Aldi #45,880,Butler St,Pittsburgh,PA,15223,Shaler,Chain Packaged Food Only
216,Aldi #46,1766,Golden Mile Hwy,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only
217,Aldi #47,239,Clairton Boulevard,West Mifflin,PA,15122,West Mifflin,Chain Packaged Food Only
218,Aldi #52,100,Costco Drive,Pittsburgh,PA,15205,Robinson,Chain Packaged Food Only
219,Aldi #53,5159,Library  Road,Bethel Park,PA,15102,Bethel Park,Chain Packaged Food Only
220,Aldi #54,16,Federal Dr,Pittsburgh,PA,15235,Penn Hills,Chain Packaged Food Only
221,Aldi #56,2348,Ardmore Blvd,Pittsburgh,PA,15221,Forest Hills,Chain Supermarket
222,Aldi #68,4578,Wm Flynn Highway,Allison Park,PA,15101,Hampton,Chain Supermarket
223,Aldi #69,8000,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Retail/Convenience Store
224,Aldi #72,3089,Sussex Avenue,Pittsburgh,PA,15226,Baldwin Twp,Chain Supermarket
225,Aldi #73,114,Chartiers Ave,Mc Kees Rocks,PA,15136,McKees Rocks,Chain Packaged Food Only
226,Aldi #77,11800,Perry Highway,Wexford,PA,15090,Pine,Chain Retail/Convenience Store
227,Aldi #79,2628,Carson Street,Pittsburgh,PA,15203,Pittsburgh-116,Chain Retail/Convenience Store
228,Aldi #80,5631,Baum  Blvd,Pittsburgh,PA,15213,Pittsburgh-108,Chain Retail/Convenience Store
229,Aldi #81,3013,Washington Pike,Bridgeville,PA,15017,South Fayette,Chain Supermarket
230,Aldi #89,300,Eden Park  Boulevard,Mc Keesport,PA,15132,McKeesport,Chain Supermarket
231,Aldi #90,7350,Saltsburg Road,Pittsburgh,PA,15235,Penn Hills,Chain Supermarket
232,Aldi #91,5200,Penn Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Chain Packaged Food Only
233,Aldi #92,5239,Brownsville  Road,Pittsburgh,PA,15236,Baldwin Boro,Supermarket
234,Aldi #93,7221,Mcknight Road,Pittsburgh,PA,15237,Ross,Chain Supermarket
235,Aldi #96,1160,Washington Avenue,Carnegie,PA,15106,Scott,Chain Supermarket
236,Aldi Store #97,127,7Th Avenue,Homestead,PA,15120,Homestead,Chain Supermarket
237,Alex&#39;s Corner Pizza Shop,4902,Cypress St,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant without Liquor
238,Alexander&#39;s Italian Bistro,5104,Liberty  Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant with Liquor
239,Alexion&#39;s Bar,141,Hawthorne Avenue,Carnegie,PA,15106,Greentree,Restaurant with Liquor
240,Alfred&#39;s &amp; Anna&#39;s Belvederes ,4016,Butler Street,Pittsburgh,PA,15201,Pittsburgh-109,Restaurant with Liquor
241,Alfreds Deli &amp; Market,3041,Brereton  Street,Pittsburgh,PA,15219,Pittsburgh-106,Retail/Convenience Store
242,Ali Baba Authentic Middle Eastern Food ,404,Craig  Street,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant with Liquor
243,Alihan&#39;s Mediterranean Cuisine,124,6th Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor
